companyname,datadate,tradingitemid,Factor_VALUE,Factor_QUALITY
Fang Holdings Limited,31/07/2016,113362525,1.611617165,-2.517481298
Pandora A/S,31/07/2016,113731742,-2.899094157,2.664917596
PT Indofood CBP Sukses Makmur Tbk,31/07/2016,113895573,-0.890247555,0.691672076
"Coca-Cola European Partners US, LLC",31/07/2016,114133548,-1.496075104,-0.638218097
Global Logistic Properties Limited,31/07/2016,114161053,-0.369787584,-0.150086672
AIA Group Limited,31/07/2016,114322570,-4.184447068,-0.100609418
Vermilion Energy Inc.,31/07/2016,114454163,0.75865888,-1.86556257
PT Tower Bersama Infrastructure Tbk,31/07/2016,114589908,-2.122442101,0.852103425
Aurizon Holdings Limited,31/07/2016,114594259,-0.980227354,-0.191353137
Coal India Limited,31/07/2016,114652113,-0.20787832,2.013953963
TAL Education Group,31/07/2016,114714556,-2.486632915,1.51866151
Gjensidige Forsikring ASA,31/07/2016,114771473,-0.029771996,0.090122986
CI Financial Corp,31/07/2016,114777081,-0.107144108,1.09086431
Petronas Chemicals Group Berhad,31/07/2016,115369245,0.102150225,0.35663535
"POLA Orbis Holdings, Inc.",31/07/2016,115478857,-0.509928661,0.226479582
"General Growth Properties, Inc",31/07/2016,115485825,-0.64716284,-0.741314574
"Otsuka Holdings Co., Ltd.",31/07/2016,115774116,-0.12337792,-0.013693076
OHL Mexico SAB De CV,31/07/2016,115774351,0.375463951,0.053944841
Pembina Pipeline Corporation,31/07/2016,116210310,-0.543519439,-0.165545828
Gentera S.A.B. de C.V.,31/07/2016,116232089,-0.22964638,1.091864094
Emlak Konut Gayrimenkul Yatirim Ortakligi AS,31/07/2016,116475110,0.375239861,0.325847618
MMI Holdings Limited,31/07/2016,116562180,0.588817604,0.465878479
First Republic Bank,31/07/2016,116836102,-0.070906022,-0.168334317
Chongqing Rural Commercial Bank Co Ltd,31/07/2016,116837496,0.935149789,0.472887309
Huaneng Renewables Corporation Limited,31/07/2016,116837515,0.201581139,-0.503528138
"FleetCor Technologies, Inc.",31/07/2016,117075824,-1.031334565,0.876326313
AltaGas Ltd.,31/07/2016,117156197,0.277867251,-0.376069909
Rand Merchant Investment Holdings Limited,31/07/2016,117424320,-0.317245143,0.758605122
Seven Generations Energy Ltd.,31/07/2016,117862263,-0.203915656,-0.388096184
Folli-Follie Commercial Manufacturing and Technical Societe Anonyme,31/07/2016,117893351,0.770464899,0.650055797
Veresen Inc.,31/07/2016,117974116,-1.061356389,-0.959359567
ARC Resources Ltd.,31/07/2016,118223961,1.006578332,-1.789851461
Keyera Corp.,31/07/2016,118316711,-0.611796899,0.200369132
Peyto Exploration & Development Corp,31/07/2016,118431257,-0.830127285,-0.947528935
"International Consolidated Airlines Group, S.A.",31/07/2016,118435960,0.584034812,1.412596167
HYUNDAI WIA Corp.,31/07/2016,119022598,0.776167638,-0.073515665
Fibra UNO,31/07/2016,126742994,-0.180698785,-0.308022798
"CALBEE, Inc.",31/07/2016,126883553,-0.713322594,0.68740584
"Facebook, Inc.",31/07/2016,126910337,-2.957923659,1.926099373
"Kinder Morgan, Inc.",31/07/2016,126940576,0.383699574,-0.240475878
"HCA Holdings, Inc.",31/07/2016,128219751,1.33758765,-1.206031243
Hutchison Port Holdings Trust,31/07/2016,128224574,0.65853654,-0.830136447
"DGB Financial Group Co., Ltd.",31/07/2016,128446571,1.017028444,-0.349827812
Far East Horizon Limited,31/07/2016,128512124,0.790246679,-0.756445188
BNK Financial Group Inc.,31/07/2016,128512139,1.028508868,-0.350860607
E-MART Inc.,31/07/2016,129118332,0.651549647,-0.309968055
Treasury Wine Estates Limited,31/07/2016,129395005,-0.813713935,0.149463003
"Hermes Microvision, Inc.",31/07/2016,130621797,-1.784930959,0.39472717
Glencore Plc,31/07/2016,131224961,1.089370366,-2.555256193
LinkedIn Corporation,31/07/2016,132363681,0.753592231,0.191829335
MGM China Holdings Limited,31/07/2016,133005413,-0.600637789,1.523829552
The Mosaic Company,31/07/2016,133184870,0.661571925,-0.737215
Tsogo Sun Holdings Limited,31/07/2016,133593203,0.162807672,0.728636314
"Prologis, Inc.",31/07/2016,133997359,-0.682320448,0.44436364
"Distribuidora Internacional de Alimentación, S.A.",31/07/2016,134104953,-1.007029547,0.619101546
Korea Aerospace Industries Ltd.,31/07/2016,134638655,-0.938185599,0.065557775
Marathon Petroleum Corporation,31/07/2016,134721329,0.58617029,-0.040175691
Qualicorp S.A.,31/07/2016,136739609,0.277846722,0.398920328
Bumi Armada Berhad,31/07/2016,136859732,1.167704323,-1.207773173
Sun Art Retail Group Limited,31/07/2016,136859934,0.286210819,0.398050623
Chailease Holding Company Limited,31/07/2016,136982977,0.605777487,-0.024620412
"Bankia, S.A.",31/07/2016,136984795,0.242475316,-0.391168126
"Zillow Group, Inc.",31/07/2016,137224792,1.745252749,-0.95726206
"VEREIT, Inc.",31/07/2016,137421082,1.046689706,-1.091967423
PJSC PhosAgro,31/07/2016,139063576,0.121881876,2.010076149
"Asia Pacific Telecom Co.,Ltd.",31/07/2016,139129240,1.692380628,-2.095438811
"Taisho Pharmaceutical Holdings Co., Ltd.",31/07/2016,139992640,-0.234139349,-0.761968189
"Fortune Brands Home & Security, Inc.",31/07/2016,140621056,-0.464674501,0.618028109
Xylem Inc.,31/07/2016,141637207,-0.276580925,-0.086041894
Delphi Automotive PLC,31/07/2016,142650454,-0.701734816,1.312101432
"NEXON Co., Ltd.",31/07/2016,142745504,0.135486169,0.245262426
Zhen Ding Technology Holding Limited,31/07/2016,143244149,0.727560855,0.299412154
"Taiwan Cooperative Financial Holding Co., Ltd.",31/07/2016,143540705,0.545702071,-0.463969462
Public Joint Stock Company ALROSA,31/07/2016,143735949,0.307640329,0.935797038
Vicinity Centres,31/07/2016,143986724,-0.069885057,0.453491707
HKT Trust and HKT Limited,31/07/2016,143986956,0.041779666,-0.293482103
Michael Kors Holdings Limited,31/07/2016,144100713,0.090564658,3.464994223
"New China Life Insurance Co., Ltd.",31/07/2016,144109905,0.210201131,0.189097286
TripAdvisor Inc.,31/07/2016,144186892,-2.051709963,1.614775736
Raia Drogasil S.A.,31/07/2016,144711933,-1.846417285,0.486963789
Element Fleet Management Corp.,31/07/2016,145072296,-0.011237284,-2.550363678
TNT Express N.V.,31/07/2016,181901612,2.42649583,0.521325645
"Vantiv, Inc.",31/07/2016,181986985,-1.704806737,-0.141842674
Vipshop Holdings Limited,31/07/2016,182183493,-1.518395168,0.299873287
SapuraKencana Petroleum Berhad,31/07/2016,182411252,1.149469531,-1.249659707
"GT Capital Holdings, Inc.",31/07/2016,182687858,0.029185403,-0.034005395
Seven Bank Ltd.,31/07/2016,183542489,-0.019272258,0.10023369
"Splunk, Inc.",31/07/2016,184152034,0.308655581,-2.385852767
Phillips 66,31/07/2016,184401980,0.449234758,0.030656308
Felda Global Ventures Holdings Berhad,31/07/2016,204777054,1.442319192,-0.782659754
Hugo Boss AG,31/07/2016,208632187,0.114366754,1.753210737
"Palo Alto Networks, Inc.",31/07/2016,208663871,0.434927449,-0.9135675
IHH Healthcare Berhad,31/07/2016,209181555,-1.126811891,-0.188989469
"ServiceNow, Inc.",31/07/2016,210039275,2.775809728,-0.317133167
American Tower Corporation,31/07/2016,212535503,-2.264118556,-0.526364773
"Hulic Co., Ltd.",31/07/2016,213960038,-0.198861236,-0.657673201
"Dalian Wanda Commercial Properties Co., Ltd.",31/07/2016,215525133,0.221773843,-0.061017746
"Hankook Tire Co., Ltd.",31/07/2016,216277025,0.623689756,0.235110093
"OBI Pharma, Inc.",31/07/2016,216404367,3.468204596,-3.342988602
The WhiteWave Foods Company,31/07/2016,216542389,-1.367682131,0.031931357
Direct Line Insurance Group PLC,31/07/2016,217364148,0.422428014,0.284003378
"Japan Airlines Co., Ltd.",31/07/2016,217385903,0.674718855,0.799039608
Astro Malaysia Holdings Berhad,31/07/2016,222340810,-2.598655088,1.809419886
Realogy Holdings Corp.,31/07/2016,222487131,0.035882143,-0.425023722
"Workday, Inc.",31/07/2016,222487220,0.871303204,-1.272948175
YY Inc.,31/07/2016,223384839,0.006355949,0.759402642
Telefónica Deutschland Holding AG,31/07/2016,223745087,1.475627717,0.331501804
WPP plc,31/07/2016,224316065,0.06820063,0.238063562
The People's Insurance Company (Group) of China Limited,31/07/2016,224643647,0.760207665,0.232481792
Public Joint Stock Company MegaFon,31/07/2016,224645692,0.506570847,0.40154023
Alior Bank S.A.,31/07/2016,224902612,0.496937005,-0.270361704
AbbVie Inc.,31/07/2016,225079155,-3.278276725,1.856369827
PT Waskita Karya (Persero) Tbk,31/07/2016,225135705,-0.536283538,0.068385551
Bharti Infratel Limited,31/07/2016,225632430,-0.566080633,0.261139274
"Japan Exchange Group, Inc.",31/07/2016,225805376,-0.163979412,0.741888398
Casetek Holdings Limited,31/07/2016,225885729,0.689993587,0.67995623
Norwegian Cruise Line Holdings Ltd.,31/07/2016,225927512,-0.007665533,0.628511532
Sibanye Gold Limited,31/07/2016,226034740,-1.010650465,0.115756314
"Nippon Prologis REIT, Inc.",31/07/2016,226034858,-1.113800225,-0.571313043
Zoetis Inc.,31/07/2016,226099795,-4.161106878,-0.523404656
OCI N.V.,31/07/2016,226601847,0.929422878,-2.338405648
Energy Absolute Public Company Limited,31/07/2016,226823224,-2.151292585,-0.147680833
Public Joint-Stock Company Moscow Exchange MICEX-RTS,31/07/2016,227987539,0.677701836,0.807255002
Evonik Industries AG,31/07/2016,230451643,0.49903965,0.888965223
Coca-Cola HBC AG,31/07/2016,232561635,0.090812586,-0.2357287
Gemalto NV,31/07/2016,233680977,-0.128054414,0.776100686
"Quintiles IMS Holdings, Inc.",31/07/2016,234816959,2.203170434,-0.922317065
BB Seguridade Participações S.A.,31/07/2016,234984470,-1.129279259,3.521967723
Indiabulls Housing Finance Limited,31/07/2016,235951716,-0.011202926,-1.584020482
"Voya Financial, Inc.",31/07/2016,236945978,0.524123493,-0.770335455
"Tableau Software, Inc.",31/07/2016,237173349,2.151206553,-0.648755114
Mercury NZ Limited,31/07/2016,237870402,-0.043355486,-0.415456164
China Galaxy Securities Company Limited,31/07/2016,238583867,0.76535953,0.498211463
"Sinopec Engineering (Group) Co., Ltd.",31/07/2016,238585984,0.72306546,-0.095107959
"T-Mobile US, Inc.",31/07/2016,240207244,-0.102504644,-0.358483968
Suntory Beverage & Food Limited,31/07/2016,241177395,-0.235194566,-0.165853065
Growthpoint Properties Limited,31/07/2016,241367783,0.254962317,-0.183025712
CDW Corporation,31/07/2016,241563566,-0.422328878,0.025870984
Mediclinic International plc,31/07/2016,241673056,-0.136823582,0.741502063
Vonovia SE,31/07/2016,241730367,0.00377897,-1.001546839
Mallinckrodt Public Limited Company,31/07/2016,241762368,0.311862862,-0.457445357
News Corporation,31/07/2016,241894833,1.463197966,-0.95997331
Sprint Corporation,31/07/2016,242602542,1.132699443,-1.499952089
OSRAM Licht AG,31/07/2016,242623324,0.559355843,0.686085751
"Envision Healthcare Holdings, Inc.",31/07/2016,244064382,-0.1607394,-0.268700115
Allergan plc,31/07/2016,244652395,1.264052015,-1.090689625
Tokyu Fudosan Holdings Corporation,31/07/2016,245591141,0.427744174,-1.081338273
Compagnie Financiere Richemont SA,31/07/2016,246269731,0.080966499,0.640243729
China Huishan Dairy Holdings Company Limited,31/07/2016,246276348,-1.06277325,-0.197223918
Westports Holdings Berhad,31/07/2016,247145481,-1.282711536,0.900900642
Antero Resources Corporation,31/07/2016,247648457,0.399506496,0.37093793
"Iida Group Holdings Co., Ltd.",31/07/2016,247682504,0.632266804,0.101497983
"Plains GP Holdings, L.P.",31/07/2016,248003043,0.300472677,-1.078183048
"Grupo Lala, S.A.B. de C.V.",31/07/2016,248041520,-0.395933899,0.732706626
"Twitter, Inc.",31/07/2016,248245510,3.05418018,-1.063903152
Brixmor Property Group Inc.,31/07/2016,248583109,-0.601080718,-1.064509334
58.com Inc.,31/07/2016,248647341,1.51282986,-2.327608914
SFR Group SA,31/07/2016,248739875,2.193268541,-2.182203813
Qunar Cayman Islands Limited,31/07/2016,248904559,-2.129418357,0.571174811
"Intercontinental Exchange, Inc.",31/07/2016,249367583,-0.236352921,0.303820342
Merlin Entertainments plc,31/07/2016,249780353,-0.311943944,-0.160791961
Ambev S.A.,31/07/2016,249780726,-0.840420497,1.818085217
Sirius XM Holdings Inc.,31/07/2016,251736274,-0.78638094,1.617685936
ENERGA Spólka Akcyjna,31/07/2016,252054589,0.832513963,-0.404222531
"China Cinda Asset Management Co., Ltd.",31/07/2016,252124021,0.891063395,-0.792568559
China Conch Venture Holdings Limited,31/07/2016,252329675,-0.442719924,0.018401052
Hilton Worldwide Holdings Inc.,31/07/2016,252437074,-0.030314164,-0.428728423
American Airlines Group Inc.,31/07/2016,252670109,0.403776695,0.382793219
Aramark,31/07/2016,252794823,-0.439320265,-1.298229042
IOI Properties Group Berhad,31/07/2016,252894811,0.505399186,0.037818253
Ally Financial Inc.,31/07/2016,252970045,1.268884392,-1.926104487
Perrigo Company plc,31/07/2016,253172906,1.621051294,-0.4726058
HK Electric Investments and HK Electric Investments Limited,31/07/2016,254811470,0.153658204,-0.518858268
ISS A/S,31/07/2016,259909129,-0.030447342,-0.067610738
Seibu Holdings Inc.,31/07/2016,260860921,0.293007599,-0.832566168
"IMS Health Holdings, Inc.",31/07/2016,260949070,-1.161091589,-0.974634757
Sabre Corporation,31/07/2016,261672724,-1.94393522,-0.453366434
WH Group Limited,31/07/2016,261686643,-0.48081336,0.00198789
Navient Corporation,31/07/2016,262300822,0.795803727,-0.511454034
"BGFretail Co., Ltd.",31/07/2016,262686150,-0.937986145,0.897887602
Alibaba Group Holding Limited,31/07/2016,263579308,-0.373440734,0.682738349
"JD.com, Inc.",31/07/2016,263811944,0.991237032,-2.080581366
China Vanke Co. Ltd.,31/07/2016,264607277,0.512114326,0.429411925
PrairieSky Royalty Ltd.,31/07/2016,264695072,-2.655594999,-1.820026435
Resilient Property Income Fund Ltd,31/07/2016,264846657,-0.859445132,-0.084709942
Hyprop Investments Limited,31/07/2016,265942407,0.071554297,-0.038639422
NN Group N.V.,31/07/2016,266289881,0.872949925,-0.184560802
"Fidelity National Financial, Inc.",31/07/2016,266673936,0.310311459,0.300285704
Westfield Corp.,31/07/2016,266746922,-0.308730496,-0.893837423
Scentre Group,31/07/2016,266782566,0.227969317,0.084671191
Luye Pharma Group Ltd.,31/07/2016,267073334,-0.098618461,0.351943666
Healthscope Limited,31/07/2016,267725176,-0.113235283,-0.284084868
Synchrony Financial,31/07/2016,268941272,0.404672089,0.486980124
CAR Inc.,31/07/2016,271809495,0.147023222,0.227242802
"Citizens Financial Group, Inc.",31/07/2016,271981530,0.611043864,-0.699265316
"Recruit Holdings Co.,Ltd.",31/07/2016,272003411,-0.195240572,0.786744368
Emaar Malls PJSC,31/07/2016,272446599,-0.473884028,-4.08E-05
"CDK Global, Inc.",31/07/2016,272646178,-2.350149645,0.25006058
Zalando SE,31/07/2016,273511203,-2.182473572,0.753715467
Fiat Chrysler Automobiles N.V.,31/07/2016,274199493,0.718481899,-0.442602592
UBS Group AG,31/07/2016,274289491,0.683340122,-0.245039897
"Samsung SDS Co., Ltd.",31/07/2016,275014356,-0.124378015,0.284252274
Axalta Coating Systems Ltd.,31/07/2016,275614271,-1.894198693,-1.005354323
"Woori Bank Co., Ltd.",31/07/2016,277591793,0.994509217,-0.594929795
"CGN Power Co., Ltd.",31/07/2016,278423996,0.155431189,-0.593117162
Samsung C&T Corporation,31/07/2016,278631846,0.397323841,-0.281762791
"Nien Made Enterprise Co., LTD.",31/07/2016,278724361,-1.353177585,1.693631927
Crown Castle International Corp.,31/07/2016,279701362,-1.873247803,-0.772497886
Restaurant Brands International Inc.,31/07/2016,279843842,-1.629460097,0.756411234
"Qorvo, Inc.",31/07/2016,280882256,0.423406542,1.149103838
Mylan N.V.,31/07/2016,281970742,-0.004454572,0.414509015
Medtronic plc,31/07/2016,282940499,-0.461809947,0.677877829
"Aena, S.A.",31/07/2016,283141007,-0.440384544,-0.309151816
"Equinix, Inc.",31/07/2016,283454304,-1.569063004,-0.552500251
CK Hutchison Holdings Limited,31/07/2016,286699444,0.533111599,-0.443116127
South32 Limited,31/07/2016,288654752,0.329800934,-0.694408161
Rumo Logística Operadora Multimodal S.A.,31/07/2016,289661808,1.030690611,-1.638639514
Meridian Energy Limited,31/07/2016,291065192,-0.105749837,0.003606156
AviChina Industry & Technology Company Limited,31/07/2016,292373440,-0.113306961,-0.077090452
Cheung Kong Property Holdings Limited,31/07/2016,298054336,0.537677544,0.552921058
3SBio Inc.,31/07/2016,302170294,-0.641020978,-0.048654331
"Columbia Pipeline Group, Inc.",31/07/2016,302980253,-0.69693172,-0.043847699
Nielsen Holdings plc,31/07/2016,303054012,-0.641068927,-0.554480633
Baxalta Incorporated,31/07/2016,303334924,-1.105913627,0.69030654
Liberty LiLAC Group,31/07/2016,304662029,0.514200949,-0.732112959
WestRock Company,31/07/2016,304886085,1.089471996,0.501781485
The Kraft Heinz Company,31/07/2016,305755683,-1.626763548,0.076851859
"PayPal Holdings, Inc.",31/07/2016,306093931,-0.668546915,0.405248506
Altice N.V.,31/07/2016,308556552,-1.407605764,-3.390218526
Steinhoff International Holdings N.V.,31/07/2016,308894926,-1.819468139,-0.129547636
Worldpay Group plc,31/07/2016,311844295,-1.230474902,-0.621555918
Covestro AG,31/07/2016,311938703,0.217531739,1.104576232
"Japan Post Holdings Co., Ltd.",31/07/2016,311939628,0.745590659,-0.815073297
"Japan Post Bank Co., Ltd.",31/07/2016,311939629,0.610463315,-0.824212071
Hydro One Limited,31/07/2016,312396326,0.119058965,-0.539228732
Hewlett Packard Enterprise Company,31/07/2016,313064514,0.557493142,-0.2178212
Schaeffler AG,31/07/2016,313167180,-0.162493797,0.652690854
Ferrari N.V.,31/07/2016,313974981,-0.278643143,1.024224971
Poste Italiane S.p.A.,31/07/2016,314321865,-0.117780284,0.07331801
ABN AMRO Group N.V.,31/07/2016,316731540,0.775311692,-0.111754792
Willis Towers Watson Public Limited Company,31/07/2016,317560689,-0.495533995,0.884274476
Alkermes plc,31/07/2016,318878892,1.126546988,-1.15969574
Bangkok Expressway and Metro Public Company Limited,31/07/2016,321021626,-0.911716028,-1.422675481
AES Tietê Energia S.A.,31/07/2016,321198212,0.3154305,0.982183767
AusNet Services Ltd,31/07/2016,322138016,0.380194934,-1.233884925
QVC Group,31/07/2016,326004249,0.066556876,-0.45768837
XL Group Ltd,31/07/2016,340314663,0.708498955,1.652447408
"Waste Connections, Inc.",31/07/2016,344560146,2.014147301,-0.654787265
Fortive Corporation,31/07/2016,365525902,0.039816534,1.90577869
Aflac Incorporated,31/08/2016,2586086,0.515712489,0.338749469
AGCO Corporation,31/08/2016,2586108,0.385013747,-0.716312262
Southern Company Gas,31/08/2016,2586118,0.067062345,-0.496490074
The AES Corporation,31/08/2016,2586130,-0.238485966,-1.566753906
Time Warner Inc.,31/08/2016,2586256,0.195259352,0.050117465
Abbott Laboratories,31/08/2016,2586533,-0.310355491,-0.008557173
"Acuity Brands, Inc.",31/08/2016,2586910,-1.466648853,1.303622373
Adobe Systems Incorporated,31/08/2016,2587024,-2.132449754,0.731253484
Advance Auto Parts Inc.,31/08/2016,2587089,-0.425342535,0.626955036
Aetna Inc.,31/08/2016,2587390,0.251018092,0.800270262
Affiliated Managers Group Inc.,31/08/2016,2587400,0.020143244,0.154321294
"Agilent Technologies, Inc.",31/08/2016,2587460,-0.568588554,-0.148270539
Agnico Eagle Mines Limited,31/08/2016,2587464,-0.125635114,-0.237678789
"Air Products and Chemicals, Inc.",31/08/2016,2587580,-0.380170342,0.296959294
"Akamai Technologies, Inc.",31/08/2016,2587662,-0.353421307,0.619442746
Albemarle Corporation,31/08/2016,2587814,0.055003665,2.356135538
Arconic Inc.,31/08/2016,2587881,1.348883629,-1.39006313
"Alexandria Real Estate Equities, Inc.",31/08/2016,2587935,-0.300944167,-0.277578966
"Alexion Pharmaceuticals, Inc.",31/08/2016,2587941,-0.957739672,0.241045608
Alimentation Couche-Tard Inc.,31/08/2016,2588009,-0.614408057,0.823800023
Alleghany Corporation,31/08/2016,2588065,0.460879341,0.331459284
Alliance Data Systems Corporation,31/08/2016,2588150,-0.911945742,-0.510774707
Alliant Energy Corporation,31/08/2016,2588182,-0.018959057,-0.331487497
The Allstate Corporation,31/08/2016,2588294,0.398899022,-0.676097656
"Amazon.com, Inc.",31/08/2016,2588568,-3.297066335,0.928413572
AMERCO,31/08/2016,2588648,0.162494027,0.583664286
Ameren Corporation,31/08/2016,2588654,0.18519417,-0.339446719
America Movil S.A.B. de C.V.,31/08/2016,2588684,-0.140427211,-0.861917485
"American Electric Power Company, Inc.",31/08/2016,2588872,0.304839106,-0.405411271
American Express Company,31/08/2016,2588913,0.200982662,-0.766231347
"American International Group, Inc.",31/08/2016,2589073,0.500055905,-1.189229437
AmerisourceBergen Corporation,31/08/2016,2589547,-0.628876718,1.092009084
Ametek Inc.,31/08/2016,2589719,-0.092496066,0.402103878
Amgen Inc.,31/08/2016,2589769,-0.258247331,0.400179089
Amphenol Corporation,31/08/2016,2589819,-0.595316375,0.762009182
Anadarko Petroleum Corporation,31/08/2016,2589895,0.488732302,-2.673779629
"Analog Devices, Inc.",31/08/2016,2589909,-0.498669037,0.271981711
"Annaly Capital Management, Inc.",31/08/2016,2590120,-0.324865323,-0.978442835
"Ansys, Inc.",31/08/2016,2590144,-0.691971295,0.21644739
Aon plc,31/08/2016,2590230,-0.488138058,0.120951105
Apache Corp.,31/08/2016,2590238,-0.735124399,-2.611954645
Apple Inc.,31/08/2016,2590360,0.062961553,1.000038122
"Applied Materials, Inc.",31/08/2016,2590440,-0.388312141,0.314059066
Archer-Daniels-Midland Company,31/08/2016,2590635,0.36021414,-0.704802674
"Arrow Electronics, Inc.",31/08/2016,2590929,0.559251898,0.122320871
ATCO Ltd.,31/08/2016,2591351,0.037737341,-0.564272641
Atmos Energy Corporation,31/08/2016,2591545,-0.017868381,-0.212551743
"Autodesk, Inc.",31/08/2016,2591749,-0.355708204,-1.427849876
"Autoliv, Inc.",31/08/2016,2591775,0.185861696,0.603529047
"Automatic Data Processing, Inc.",31/08/2016,2591803,-1.292092483,1.410511097
"AutoNation, Inc.",31/08/2016,2591819,0.311152123,0.139649674
"AutoZone, Inc.",31/08/2016,2591829,2.469901043,1.450001647
"AvalonBay Communities, Inc.",31/08/2016,2591859,-0.803316997,-0.236998375
Avery Dennison Corporation,31/08/2016,2591945,-0.683855497,0.58878063
"Avnet, Inc.",31/08/2016,2592011,0.671428387,-0.025352135
BB&T Corporation,31/08/2016,2592140,0.463433705,-0.367487027
Baker Hughes Incorporated,31/08/2016,2592597,0.561991102,-2.10585883
Ball Corporation,31/08/2016,2592681,-1.728985303,-2.144333173
Banco Bradesco S.A.,31/08/2016,2592800,0.579733064,0.709402943
Banco Santander-Chile,31/08/2016,2592850,0.120918164,0.569913105
Bancolombia S.A.,31/08/2016,2592854,0.6123632,0.021966949
Bank of America Corporation,31/08/2016,2592914,0.735615743,-0.751413256
Bank of Montreal,31/08/2016,2592992,0.459251843,0.019136838
The Bank of Nova Scotia,31/08/2016,2593034,0.424551074,0.188781168
CR Bard Inc.,31/08/2016,2593346,-3.917967288,0.57299821
Barrick Gold Corporation,31/08/2016,2593380,0.557164722,-1.786475884
Baxter International Inc.,31/08/2016,2593695,0.238245321,0.819429977
B/E Aerospace Inc.,31/08/2016,2593777,0.115342754,1.122215859
"Becton, Dickinson and Company",31/08/2016,2593888,-0.872150408,0.497750242
Bed Bath & Beyond Inc.,31/08/2016,2593890,0.468577432,1.299869953
W. R. Berkley Corporation,31/08/2016,2594140,0.48938405,0.008799665
Berkshire Hathaway Inc.,31/08/2016,2594156,0.413151292,0.917906842
"Best Buy Co., Inc.",31/08/2016,2594192,0.432508796,1.097470495
BioMarin Pharmaceutical Inc.,31/08/2016,2594499,1.950354436,-1.841612614
"Valeant Pharmaceuticals International, Inc.",31/08/2016,2594580,1.013454492,-1.910991752
"BlackRock, Inc.",31/08/2016,2594723,0.021406084,-0.05143805
"H&R Block, Inc.",31/08/2016,2594761,0.682284665,1.942035498
The Boeing Company,31/08/2016,2594884,-2.009450753,1.764733013
Bombardier Inc.,31/08/2016,2594928,0.79870924,-1.425955874
BorgWarner Inc.,31/08/2016,2595046,0.464506708,0.574293361
Boston Properties Inc.,31/08/2016,2595162,-0.851833732,-0.491315228
Boston Scientific Corporation,31/08/2016,2595170,-0.022362458,-0.297532733
Bristol-Myers Squibb Company,31/08/2016,2595573,-2.257237871,0.399799886
Brown-Forman Corporation,31/08/2016,2595748,-1.895260579,1.754274519
CAE Inc.,31/08/2016,2596066,0.123433065,0.237734461
CCL Industries Inc.,31/08/2016,2596252,-0.242500783,0.913660672
CH Robinson Worldwide Inc.,31/08/2016,2596492,-0.84155294,2.236637874
Cigna Corp.,31/08/2016,2596502,0.236905986,0.707488186
CMS Energy Corp.,31/08/2016,2596570,-0.113192442,-0.628649161
CSX Corp.,31/08/2016,2596835,0.317136518,-0.182115236
CVS Health Corporation,31/08/2016,2596903,0.067631217,0.345584823
Cablevision Systems Corporation,31/08/2016,2596945,-0.395377674,0.959444847
Cabot Oil & Gas Corporation,31/08/2016,2597012,0.84277522,-1.594956763
Cadence Design Systems Inc.,31/08/2016,2597036,-0.851661391,0.61087098
Camden Property Trust,31/08/2016,2597367,-0.901444339,-0.296352703
Cameco Corporation,31/08/2016,2597371,1.130710052,-0.567790802
Campbell Soup Company,31/08/2016,2597397,-1.657141932,0.745352312
Canadian Imperial Bank of Commerce,31/08/2016,2597533,0.400748086,0.465317144
Canadian National Railway Company,31/08/2016,2597582,-0.258808998,0.611337082
Canadian Natural Resources Limited,31/08/2016,2597588,2.633648322,-1.955986709
Canadian Tire Corp. Ltd.,31/08/2016,2597658,0.217019759,-0.132958331
Canadian Utilities Ltd.,31/08/2016,2597688,-0.215499177,-0.644934833
Capital One Financial Corporation,31/08/2016,2597991,0.743026148,-0.250429747
"Cardinal Health, Inc.",31/08/2016,2598155,-0.024523075,0.769816794
Carnival Corporation,31/08/2016,2598323,0.270874106,0.323114261
Caterpillar Inc.,31/08/2016,2598619,-0.520000394,-1.540796664
Celgene Corporation,31/08/2016,2598787,-3.178008671,-0.025628752
"CenturyLink, Inc.",31/08/2016,2599302,0.505555461,-0.704831826
Cerner Corporation,31/08/2016,2599340,-0.860848545,1.09703298
"Cheniere Energy, Inc.",31/08/2016,2599765,3.485445239,-1.154568604
Chevron Corporation,31/08/2016,2599839,-1.997808792,-1.135861032
Chicago Bridge & Iron Company N.V.,31/08/2016,2599915,1.031002134,1.327972203
Church & Dwight Co. Inc.,31/08/2016,2600403,-0.978643533,0.690079301
Cincinnati Financial Corp.,31/08/2016,2600477,0.21687823,0.478899682
CarMax Inc.,31/08/2016,2600566,-0.110930148,-0.859943886
"Cisco Systems, Inc.",31/08/2016,2600582,0.220683208,0.323288641
Cintas Corporation,31/08/2016,2600608,-0.62650046,0.931137351
Citigroup Inc.,31/08/2016,2600628,0.785031381,-0.765842681
"Citrix Systems, Inc.",31/08/2016,2600796,-0.995936444,0.325423767
The Clorox Company,31/08/2016,2601047,-0.29539163,1.243563977
"Coach, Inc.",31/08/2016,2601079,-0.371408202,0.585873894
The Coca-Cola Company,31/08/2016,2601201,-1.0684791,0.061952545
Cognizant Technology Solutions Corporation,31/08/2016,2601274,-0.197354596,1.010327163
Colgate-Palmolive Co.,31/08/2016,2601341,-0.403224992,2.374458907
Comcast Corporation,31/08/2016,2601563,0.15724025,0.156784418
Comerica Incorporated,31/08/2016,2601589,0.363672604,-0.505036691
Companhia de Saneamento Basico do Estado de Sao Paulo,31/08/2016,2602005,0.173445488,0.264126069
